secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
000848.XSHE,000848,承德露露,XSHE,395,2017-12-31,978562700,978562700,,978562700,978355400,,207300.0,978355400
000848.XSHE,000848,承德露露,XSHE,395,2017-06-30,978562700,978562700,,978562700,978251400,,311300.0,978251400
000848.XSHE,000848,承德露露,XSHE,395,2016-12-31,978562700,978562700,,978562700,978014700,,548000.0,978014700
000848.XSHE,000848,承德露露,XSHE,395,2016-06-30,978562700,978562700,,978562700,978084000,,478700.0,978084000
000848.XSHE,000848,承德露露,XSHE,395,2016-05-17,978562700,978562700,,978562700,978084000,,478700.0,978084000
000848.XSHE,000848,承德露露,XSHE,395,2015-12-31,752740600,752740600,,752740600,752379800,,360800.0,752379800
000848.XSHE,000848,承德露露,XSHE,395,2015-06-30,752740600,752740600,,752740600,752462100,,278500.0,752462100
000848.XSHE,000848,承德露露,XSHE,395,2015-05-26,752740600,752740600,,752740600,752462100,,278500.0,752462100
000848.XSHE,000848,承德露露,XSHE,395,2014-12-31,501827100,501827100,,501827100,501644700,,182400.0,501644700
000848.XSHE,000848,承德露露,XSHE,395,2014-06-30,501827040,501827040,,501827040,501644690,,182350.0,501644690
000848.XSHE,000848,承德露露,XSHE,395,2014-06-04,501827040,501827040,,501827040,501644690,,182350.0,501644690
000848.XSHE,000848,承德露露,XSHE,395,2013-12-31,401461632,401461632,,401461632,401315752,,145880.0,401315752
000848.XSHE,000848,承德露露,XSHE,395,2013-06-30,401461632,401461632,,401461632,401312457,,149175.0,401312457
000848.XSHE,000848,承德露露,XSHE,395,2012-12-31,401461632,401461632,,401461632,401313281,,148351.0,401313281
000848.XSHE,000848,承德露露,XSHE,395,2012-07-10,401461632,401461632,,401461632,401313280,,148352.0,401313280
000848.XSHE,000848,承德露露,XSHE,395,2012-06-30,364965120,364965120,,364965120,364830255,,134865.0,364830255
000848.XSHE,000848,承德露露,XSHE,395,2011-12-31,364965120,364965120,,364965120,364823201,,141919.0,364823201
000848.XSHE,000848,承德露露,XSHE,395,2011-06-30,364965120,364965120,,364965120,364823201,,141919.0,364823201
000848.XSHE,000848,承德露露,XSHE,395,2011-05-26,364965120,364965120,,364965120,364823201,,141919.0,364823201
000848.XSHE,000848,承德露露,XSHE,395,2010-12-31,304137600,304137600,,304137600,304011816,,125784.0,304011816
000848.XSHE,000848,承德露露,XSHE,395,2010-08-06,304137600,304137600,,304137600,303974376,,163224.0,303974376
000848.XSHE,000848,承德露露,XSHE,395,2010-06-30,190086000,190086000,,190086000,189982381,,103619.0,189982381
000848.XSHE,000848,承德露露,XSHE,395,2009-12-31,190086000,190086000,,190086000,189982381,,103619.0,189982381
000848.XSHE,000848,承德露露,XSHE,395,2009-06-30,190086000,190086000,,190086000,189982381,,103619.0,189982381
000848.XSHE,000848,承德露露,XSHE,395,2009-06-09,190086000,190086000,,190086000,189982381,,103619.0,189982381
000848.XSHE,000848,承德露露,XSHE,395,2008-12-31,190086000,190086000,,190086000,109096381,,80989619.0,109096381
000848.XSHE,000848,承德露露,XSHE,395,2008-06-30,190086000,190086000,,190086000,109095870,,80990130.0,109095870
000848.XSHE,000848,承德露露,XSHE,395,2007-12-31,190086000,190086000,,190086000,109095870,,80990130.0,109095870
000848.XSHE,000848,承德露露,XSHE,395,2007-06-30,190086000,190086000,0.0,190086000,109200000,0.0,80886000.0,109200000
000848.XSHE,000848,承德露露,XSHE,395,2006-12-31,190086000,190086000,0.0,190086000,109200000,0.0,80886000.0,109200000
000848.XSHE,000848,承德露露,XSHE,395,2006-06-30,190086000,190086000,0.0,190086000,108995640,0.0,81090360.0,108995640
000848.XSHE,000848,承德露露,XSHE,395,2006-06-07,190086000,190086000,,190086000,108995640,,81090360.0,108995640
000848.XSHE,000848,承德露露,XSHE,395,2006-05-31,190086000,190086000,,109200000,109200000,,,109200000
000848.XSHE,000848,承德露露,XSHE,395,2005-12-31,311100000,311100000,0.0,109200000,108995640,0.0,204360.0,108995640
000848.XSHE,000848,承德露露,XSHE,395,2005-06-30,311100000,311100000,0.0,109200000,108995640,0.0,204360.0,108995640
000848.XSHE,000848,承德露露,XSHE,395,2005-05-24,311100000,311100000,0.0,108995640,108995640,0.0,0.0,108995640
000848.XSHE,000848,承德露露,XSHE,395,2004-12-31,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2004-06-30,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2003-12-31,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2003-06-30,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2003-01-27,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2003-01-23,259250000,259250000,0.0,90800920,90800920,0.0,,90800920
000848.XSHE,000848,承德露露,XSHE,395,2002-12-31,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2002-06-30,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2001-12-31,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2001-06-30,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2000-12-31,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2000-07-05,259250000,259250000,0.0,91000000,91000000,0.0,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2000-06-30,259250000,259250000,,91000000,91000000,,,91000000
000848.XSHE,000848,承德露露,XSHE,395,2000-04-24,259250000,259250000,0.0,91000000,70000000,0.0,21000000.0,70000000
000848.XSHE,000848,承德露露,XSHE,395,1999-12-31,231000000,231000000,,70000000,70000000,,,70000000
000848.XSHE,000848,承德露露,XSHE,395,1999-06-30,231000000,231000000,,70000000,70000000,,,70000000
000848.XSHE,000848,承德露露,XSHE,395,1998-12-31,231000000,231000000,,70000000,70000000,,,70000000
000848.XSHE,000848,承德露露,XSHE,395,1998-09-15,231000000,231000000,,70000000,70000000,,,70000000
000848.XSHE,000848,承德露露,XSHE,395,1998-06-30,115500000,115500000,,35000000,35000000,,,35000000
000848.XSHE,000848,承德露露,XSHE,395,1998-05-15,115500000,115500000,0.0,34919000,34919000,0.0,0.0,34919000
000848.XSHE,000848,承德露露,XSHE,395,1997-12-31,115500000,115500000,,31500000,31500000,,,31500000
000848.XSHE,000848,承德露露,XSHE,395,1997-11-13,115500000,115500000,,31500000,31500000,,,31500000
