Python高手之路 第3版  作者开发OpenStack这个大规模项目时的经验总结 关注如何利用Python编程有效地解决问题以及如何构建良好的Python应用程序 , 46.80
数据科学实战手册 R+Python  基于R和Python的数据科学项目案例集锦 数据分析师 数据挖掘工程师 数据科学家必读 , 46.60
OpenCV 3计算机视觉：Python语言实现（原书第2版）   , 38.70
Python网络编程 第3版  从应用开发角度介绍网络编程基本概念 模块以及第三方库 利用Python轻松快速打造网络应用程序 Python 3示例讲解 , 63.80
精通Python设计模式  16种基本设计模式，轻松解决软件设计常见问题；借力高效的Python语言，用现实例子展示各模式关键特性 , 37.70
编程导论  麻省理工学院开放式课程倍受欢迎的计算机课程的教材 涵盖python大部分特性 作者曾长期担任麻省理工学院计算机系主任 , 47.50
趣学Python――教孩子学编程   , 50.20
Python数据分析与挖掘实战  10余位资深大数据专家结合10余年数据挖掘与实施经验，通过10余个真实的案例为10余个行业的数据挖掘给出了解决方案，并提供相关的建模文件和源代码 , 54.50
Python数据可视化编程实战  搭建用于数据可视化的理想的Python环境，熟悉数据导入和数据格式化，掌握和使用正确的数据可视化方法 , 41.70
Python科学计算基础教程  以数据为基础 通过精彩案例展示Numpy等科学计算模块的强大功能和广泛应用 剖析Python关于并行与大数据计算的方法 , 39.90
Python密码学编程  Python编程实现加密算法的初学者指南 , 55.70
面向ArcGIS的Python脚本编程   , 41.70
Raspberry Pi：Python编程入门   , 30.90
Python树莓派编程   , 39.80
Effective Python:编写高质量Python代码的59个有效方法   , 48.70
数据科学导论：Python语言实现   , 40.30
树莓派Python编程入门与实战（第2版）  经典系列 直观 循序渐进的树莓派Python编程学习教程 强调实践教学 以示例引导读者完成常见的任务 , 58.10
ABAQUS Python二次开发攻略 CAE分析大系  ABAQUS原厂推荐 实例解决工程实际问题 微信 QQ群 SimWe论坛 提供强势技术支持 , 49.80
Python宝典   , 64.40
Python语言在Abaqus中的应用   , 39.60
爱上Python 一日精通Python编程  大妈 梁杰 刘全 倾力推荐 新浪开发工程师精准翻译 , 33.90
Python核心编程 第3版 英文版  上一版销量逾60000册；数万名Python开发人员的案头 , 79.90
Python Web开发 测试驱动方法  实战式TDD开发指南，使用Python、Django等流行技术开发现代Web应用！ , 84.20
Python入门经典   , 32.70
Python计算与编程实践：多媒体方法（原书第2版）   , 58.60
Python性能分析与优化  全面掌握Python代码性能分析和优化方法 消除性能瓶颈 迅速改善程序性能 , 38.30
21天学通Python  极具影响力原创计算机编程系列图书，丛书畅销30万册！程序员必备案头手册，祝你21天轻松学通编程技能！ , 50.10
Python入门（影印版）   , 75.60
Python Cookbook（第3版）中文版  经典Python图书全新升级版本 初中级Python程序员晋级必备图书 涵盖Python 3.3 包含大量实用Python编程技巧 囊括常见Python编程领域 , 85.30
量化投资：以Python为工具  量化投资优质工具书！有技术、有案例，有工具、有总结，专家解读量化投资（以Python语言），引领读者进入引人入胜的学术与实务领域！ , 78.20
Python机器学习及实践---- 从零开始通往Kaggle竞赛之路   , 38.70
父与子的编程之旅：与小卡特一起学Python   , 54.50
Python科学计算(第2版)  零基础学python,光盘中作者独家整合开发winPython运行环境，涵盖了Python各个扩展库，免去安装麻烦，书中示例源码免费提供，畅销书升级版，python入门* , 93.20
Python程序设计基础  本书是学习Python程序设计非常实用的教材，案例丰富，深入浅出，有案例源代码！ , 24.70
数据结构与算法：Python语言描述   , 40.50
