000035.SZ,中国天楹,0.3900,0.4469,0.5392,0.3500,-13.1100,-1.1800,0.2000,0.7900,-0.0700,-0.1200,0.3100,-0.1500,-3.3700,5.9900,0.3500,0.3700
000036.SZ,华联控股,0.2600,0.3500,0.3800,0.0900,0.0600,0.0100,0.1732,-0.3400,-0.3582,0.2505,0.2053,0.0618,0.0525,0.0710,0.0306,0.0617
000038.SZ,深大通,0.0460,0.0718,0.1270,0.0950,-0.0740,-0.5560,-1.8900,0.1780,2.0800,0.2200,0.2776,0.0217,0.0216,0.0210,-0.5100,0.0620
000039.SZ,中集集团,1.3579,1.5961,0.9100,1.3100,2.7100,1.5900,1.0600,1.1900,0.5300,0.3600,1.1300,1.3900,0.7300,0.8200,0.9300,0.7200
000040.SZ,东旭蓝天,0.0250,-0.2670,-0.5240,0.0400,0.0600,0.0300,-0.0100,0.1600,-0.2400,0.1400,0.2100,0.3000,0.4100,0.2200,0.1100,0.1300
000042.SZ,中洲控股,0.4670,0.4540,0.2864,,0.2095,0.5730,0.2214,0.8427,0.0283,1.1135,1.5114,1.3325,1.7200,1.6934,0.6381,0.8377
000043.SZ,中航地产,0.1200,-0.9880,0.1900,0.2000,0.2700,0.3300,0.3690,0.7442,0.1291,0.2828,1.2112,1.5513,0.6214,0.7003,0.7384,0.6016
000045.SZ,深纺织A,0.1390,0.1540,0.0070,0.2100,0.1100,0.0880,0.0200,0.0500,0.1900,0.1600,0.1400,0.1500,-0.2400,0.1000,-0.2200,0.0200
000046.SZ,泛海控股,0.1850,0.1651,0.1400,0.1500,0.3035,0.2100,0.7360,0.8690,0.0940,0.1780,0.0540,0.0566,0.1716,0.2592,0.3420,0.4433
000048.SZ,康达尔,-0.8400,-0.2724,0.0255,0.0139,,-0.2880,-0.3240,0.0623,0.0924,0.1171,-0.1207,1.2361,0.0709,-0.0231,0.2900,0.5200
000049.SZ,德赛电池,0.0030,0.1062,0.0100,-0.2430,0.0213,0.1325,0.1716,0.0522,0.0114,-0.1264,0.5216,0.8720,1.0498,1.5057,1.1428,1.1217
000050.SZ,深天马A,0.2800,0.1875,-0.2630,0.3400,0.3500,0.2100,0.2800,0.2591,0.0163,-0.3580,0.1226,0.1761,0.0948,0.2500,0.7116,0.4901
000055.SZ,方大集团,0.2300,0.1200,-0.5800,0.0282,0.0110,-0.1969,0.0584,0.0629,0.0550,0.1000,0.1100,0.0900,0.0300,0.1100,0.1300,0.1400
000056.SZ,皇庭国际,0.1600,0.0900,-0.1200,0.0060,-0.3340,0.0320,-0.1900,0.3371,-0.1200,0.0300,-0.7600,-0.5600,0.0820,10.5100,-1.2600,0.0900
000058.SZ,深赛格,0.0190,-0.4670,0.1388,0.2335,0.1405,-0.1778,0.0000,0.0802,0.0619,-0.3977,0.0755,0.0879,0.0581,0.0692,0.0616,0.0946
000059.SZ,华锦股份,0.0035,0.0037,-0.0886,0.0072,0.2058,0.3626,0.1514,0.3620,0.3206,0.1634,0.3437,0.7014,0.0163,-0.1293,-1.2600,0.2100
000060.SZ,中金岭南,0.3000,0.0700,0.1100,0.1400,0.3200,0.6400,1.8200,1.6500,0.3900,0.4000,0.4500,0.4600,0.2100,0.2000,0.2300,0.0900
000061.SZ,农产品,0.6260,0.4730,0.8050,0.1802,0.0273,0.0358,0.1500,0.4403,0.1264,0.1108,0.3604,0.2691,0.0346,0.0666,0.0497,0.0121
000062.SZ,深圳华强,0.3619,0.2400,0.1400,0.0843,0.1551,0.0930,0.3100,0.3800,0.1500,0.3000,0.2900,0.0740,0.4220,0.6180,0.7160,0.5556
000063.SZ,中兴通讯,0.8600,1.0490,1.0200,1.1280,1.3500,1.2400,0.8000,1.3000,1.2400,1.4000,1.1700,0.6100,-0.8300,0.3900,0.7700,0.7800
000065.SZ,北方国际,,,0.1600,0.1250,0.2160,0.1500,0.0900,-0.3200,0.2200,0.3500,0.2700,0.4500,0.7400,0.7400,0.7300,0.8200
000066.SZ,长城电脑,0.3684,0.1600,0.1400,0.2300,0.7100,0.7400,0.1150,0.2140,0.0210,0.8050,0.1770,0.0760,-0.1810,0.0220,0.0440,-0.0270
000068.SZ,华控赛格,0.1860,0.1190,0.1540,0.2272,0.3492,0.0515,0.0600,-0.2443,0.0231,-2.1484,0.0395,-0.0456,0.0035,-0.0415,-0.1208,0.0070
000069.SZ,华侨城A,0.2430,0.4030,0.6040,0.2200,0.3210,0.4390,0.5000,0.6600,0.3500,0.5510,0.9780,0.5680,0.5294,0.6062,0.6566,0.6370
