000009.SZ, 中国宝安, 2009, 0.2300
000009.SZ, 中国宝安, 2010, 0.3000
000009.SZ, 中国宝安, 2011, 0.2500
000009.SZ, 中国宝安, 2012, 0.1500
000009.SZ, 中国宝安, 2013, 0.2300
000009.SZ, 中国宝安, 2014, 0.2000
000009.SZ, 中国宝安, 2015, 0.5000

000010.SZ, 美丽生态, 2000, 0.1360
000010.SZ, 美丽生态, 2001, 0.0119
000010.SZ, 美丽生态, 2002, 0.0826
000010.SZ, 美丽生态, 2003, 0.0480
000010.SZ, 美丽生态, 2004, -0.1000
000010.SZ, 美丽生态, 2005, -0.5500
000010.SZ, 美丽生态, 2006, 0.0300
000010.SZ, 美丽生态, 2007, -0.2000
000010.SZ, 美丽生态, 2008, 0.1100
000010.SZ, 美丽生态, 2009, 0.0500
000010.SZ, 美丽生态, 2010, -0.0100
000010.SZ, 美丽生态, 2011, 0.0300
000010.SZ, 美丽生态, 2012, 0.0050
000010.SZ, 美丽生态, 2013, 0.0053
000010.SZ, 美丽生态, 2014, -0.1268
000010.SZ, 美丽生态, 2015, 0.0542

000011.SZ, 深物业A, 2000, 0.1000
000011.SZ, 深物业A, 2001, 0.1594
000011.SZ, 深物业A, 2002, 0.0639
000011.SZ, 深物业A, 2003, 0.1400
000011.SZ, 深物业A, 2004, 0.1669
000011.SZ, 深物业A, 2005, 0.1500
000011.SZ, 深物业A, 2006, -0.0832
000011.SZ, 深物业A, 2007, -0.0505
000011.SZ, 深物业A, 2008, 0.0181
000011.SZ, 深物业A, 2009, 0.1600
000011.SZ, 深物业A, 2010, 0.2936
000011.SZ, 深物业A, 2011, 0.4320
000011.SZ, 深物业A, 2012, 0.6299
000011.SZ, 深物业A, 2013, 0.5048
000011.SZ, 深物业A, 2014, 0.7005
000011.SZ, 深物业A, 2015, 0.2631

000012.SZ, 南玻A, 2000, 0.2400
000012.SZ, 南玻A, 2001, 0.2200
000012.SZ, 南玻A, 2002, 0.2400
000012.SZ, 南玻A, 2003, 0.3000
000012.SZ, 南玻A, 2004, 0.5000
000012.SZ, 南玻A, 2005, 0.3100
000012.SZ, 南玻A, 2006, 0.3300
000012.SZ, 南玻A, 2007, 0.4100
000012.SZ, 南玻A, 2008, 0.3500
000012.SZ, 南玻A, 2009, 0.6800
000012.SZ, 南玻A, 2010, 0.7000
000012.SZ, 南玻A, 2011, 0.5700
000012.SZ, 南玻A, 2012, 0.1300
000012.SZ, 南玻A, 2013, 0.7400
000012.SZ, 南玻A, 2014, 0.4200
000012.SZ, 南玻A, 2015, 0.3000

000014.SZ, 沙河股份, 2000, -0.3700
000014.SZ, 沙河股份, 2001, 0.3500
000014.SZ, 沙河股份, 2002, 0.4000
000014.SZ, 沙河股份, 2003, 0.3330
000014.SZ, 沙河股份, 2004, 0.3094
000014.SZ, 沙河股份, 2005, 0.3500
000014.SZ, 沙河股份, 2006, 0.2530
000014.SZ, 沙河股份, 2007, 0.0140
000014.SZ, 沙河股份, 2008, 0.2160
000014.SZ, 沙河股份, 2009, 0.3799
000014.SZ, 沙河股份, 2010, 0.3500
000014.SZ, 沙河股份, 2011, 0.2692
000014.SZ, 沙河股份, 2012, 0.1386
000014.SZ, 沙河股份, 2013, 0.1426
000014.SZ, 沙河股份, 2014, 0.3013
000014.SZ, 沙河股份, 2015, 0.2626

000016.SZ, 深康佳A, 2000, 0.3736
000016.SZ, 深康佳A, 2001, -1.1625
000016.SZ, 深康佳A, 2002, 0.0590
000016.SZ, 深康佳A, 2003, 0.1679
000016.SZ, 深康佳A, 2004, 0.2340
000016.SZ, 深康佳A, 2005, 0.1190
000016.SZ, 深康佳A, 2006, 0.1610
