57, 周末放映室，《芝加哥》《星银岛》《只是爱着你》, //www.bilibili.com/topic/833.html?from=search&seid=15065637063304201552
56, 周末放映室，《木乃伊》《罗马浴场》《艾尔文与花栗鼠》, //www.bilibili.com/topic/827.html?from=search&seid=15065637063304201552
70, 周末放映室 第70期，《沙漠之花》《我和厄尔以及将死的女孩》《SPEC》, //www.bilibili.com/topic/988.html?from=search&seid=15065637063304201552
83, 周末放映室 第83期，《倩女幽魂》《画皮2》《暮光之城：破晓（上）》, //www.bilibili.com/topic/1156.html?from=search&seid=15065637063304201552
92, 周末放映室 第92期，《飞行家》，《岸边之旅》，《世界因爱而生》，【Leonardo DiCaprio 生贺混剪】Hypnotic，【励志向】You're extraordinary, //www.bilibili.com/topic/1275.html?from=search&seid=15065637063304201552
99, 周末放映室 第99期，电影《海豚湾》，《妙笔生花》，两部优秀短片，两部优秀混剪, //www.bilibili.com/topic/1384.html?from=search&seid=15065637063304201552
64, 周末放映室 第64期，《狗狗与我的十个约定》《贝利叶一家》《古墓丽影》, //www.bilibili.com/topic/891.html?from=search&seid=15065637063304201552
95, 周末放映室 第95期，《割腕者的天堂》，《拆弹部队》，《堕落的艺术》，【欧美群像】MY DEMONS（不全是反派的反派群像）【初剪辑】，【九九八十一】全员女孩子！西游性转女神群像混剪, //www.bilibili.com/topic/1325.html?from=search&seid=15065637063304201552
88, 周末放映室 第88期，《西游降魔篇》《冰雪勇士》，短片《小学生未来之战》《三体黑暗森林》，混剪—不要温和地走进那个良夜，男神们的军装合集, //www.bilibili.com/topic/1210.html?from=search&seid=11849325788444978364
84, 周末放映室 第84期，《桃姐》《尽情游戏》《我11》, //www.bilibili.com/topic/1161.html?from=search&seid=11849325788444978364
89, 周末放映室 第89期，电影《妈咪》《异度空间》，短片《土耳其瞭望塔》《功之怒》，混剪 【内地·男·群像】中戏军团，【上戏古装群像】风花雪月, //www.bilibili.com/topic/1226.html?from=search&seid=11849325788444978364
97, 简介：周末放映室第97期，电影《饥饿游戏2：星火燎原》、《翻滚吧！阿信》，短片《如何四步轻松减肥》、《口吃》，两部优秀混剪作品, //www.bilibili.com/topic/1353.html?from=search&seid=11849325788444978364
96, 简介：周末放映室第96期，电影《钟无艳》、《戴珍珠耳环的少女》，短片《灯具》、《自杀热线》，两部优秀混剪作品, //www.bilibili.com/topic/1339.html?from=search&seid=11849325788444978364
91, 周末放映室 第91期，电影《刺客聂隐娘》《杀死那个爱尔兰人》，短片《奇幻心旅》，《seed》，【李安电影混剪】一次致敬：李安，【私以内全员恶女/日本恶女混剪】血腥爱情故事, //www.bilibili.com/topic/1257.html?from=search&seid=11849325788444978364
90, 周末放映室 第90期，电影《小羊肖恩》《蜀山传》，短片《少年异能事件？！》，【奇幻/寓言】系列短片，混剪【伪·三国群像】天命，【颜狗狂欢 / 中古奇幻】歌谣之歌, //www.bilibili.com/topic/1240.html?from=search&seid=11849325788444978364
75, 周末放映室 第75期，《恋战冲绳》《催眠大师》《雪国列车》, //www.bilibili.com/topic/1027.html?from=search&seid=11849325788444978364
109, 周末放映室 第109期，《大鱼海棠》10月1日全网首播，弹幕版只在bilibili，另还有三部优秀的电影同时奉上，《脚注》、《爸妈不在家》、《忘不了》，望君渡过一个充实的周末！, //www.bilibili.com/topic/1542.html?from=search&seid=11849325788444978364
